id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kesehatan,satuan,tahun
78,32,JAWA BARAT,3276,KOTA DEPOK,82.93,POIN,2012
79,32,JAWA BARAT,3277,KOTA CIMAHI,82.38,POIN,2012
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78.27,POIN,2012
81,32,JAWA BARAT,3279,KOTA BANJAR,77.11,POIN,2012
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,77.64,POIN,2013
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,76.46,POIN,2013
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.45,POIN,2013
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.48,POIN,2013
86,32,JAWA BARAT,3205,KABUPATEN GARUT,77.64,POIN,2013
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73.7,POIN,2013
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,77.37,POIN,2013
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.33,POIN,2013
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,78.85,POIN,2013
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,74.76,POIN,2013
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.78,POIN,2013
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,77.31,POIN,2013
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,78.76,POIN,2013
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,76.85,POIN,2013
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.14,POIN,2013
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,81.74,POIN,2013
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.32,POIN,2013
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,76.61,POIN,2013
100,32,JAWA BARAT,3271,KOTA BOGOR,80.87,POIN,2013
101,32,JAWA BARAT,3272,KOTA SUKABUMI,79.61,POIN,2013
102,32,JAWA BARAT,3273,KOTA BANDUNG,82.75,POIN,2013
103,32,JAWA BARAT,3274,KOTA CIREBON,79.61,POIN,2013
104,32,JAWA BARAT,3275,KOTA BEKASI,83.34,POIN,2013
105,32,JAWA BARAT,3276,KOTA DEPOK,82.99,POIN,2013
106,32,JAWA BARAT,3277,KOTA CIMAHI,82.4,POIN,2013
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78.36,POIN,2013
108,32,JAWA BARAT,3279,KOTA BANJAR,77.23,POIN,2013
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,77.67,POIN,2014
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,76.51,POIN,2014
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.51,POIN,2014
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.5,POIN,2014
113,32,JAWA BARAT,3205,KABUPATEN GARUT,77.67,POIN,2014
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,73.78,POIN,2014
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,77.45,POIN,2014
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.37,POIN,2014
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,78.89,POIN,2014
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,74.86,POIN,2014
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.82,POIN,2014
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,77.37,POIN,2014
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,78.79,POIN,2014
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,76.87,POIN,2014
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.16,POIN,2014
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,81.79,POIN,2014
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.33,POIN,2014
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,76.68,POIN,2014
127,32,JAWA BARAT,3271,KOTA BOGOR,80.89,POIN,2014
128,32,JAWA BARAT,3272,KOTA SUKABUMI,79.63,POIN,2014
129,32,JAWA BARAT,3273,KOTA BANDUNG,82.76,POIN,2014
130,32,JAWA BARAT,3274,KOTA CIREBON,79.65,POIN,2014
131,32,JAWA BARAT,3275,KOTA BEKASI,83.36,POIN,2014
132,32,JAWA BARAT,3276,KOTA DEPOK,83.02,POIN,2014
133,32,JAWA BARAT,3277,KOTA CIMAHI,82.41,POIN,2014
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78.41,POIN,2014
135,32,JAWA BARAT,3279,KOTA BANJAR,77.29,POIN,2014
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,77.83,POIN,2015
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,76.97,POIN,2015
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.82,POIN,2015
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.65,POIN,2015
140,32,JAWA BARAT,3205,KABUPATEN GARUT,77.98,POIN,2015
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,74.4,POIN,2015
