,tahun,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jml_kelompok_pendidikan
313,2018,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,TIDAK SEKOLAH,0
314,2018,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,SD,3
315,2018,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,SLTP,7
316,2018,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,SLTA,5
317,2018,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,PERGURUAN TINGGI,0
318,2018,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,TK,0
319,2018,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,PAUD,0
321,2018,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,TIDAK SEKOLAH,1
322,2018,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,SD,5
323,2018,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,SLTP,1
324,2018,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,SLTA,1
325,2018,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,PERGURUAN TINGGI,1
326,2018,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,TK,1
327,2018,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,PAUD,0
329,2018,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,TIDAK SEKOLAH,2
330,2018,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,SD,7
331,2018,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,SLTP,5
332,2018,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,SLTA,14
333,2018,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,PERGURUAN TINGGI,6
334,2018,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,TK,1
335,2018,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,PAUD,0
337,2018,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,TIDAK SEKOLAH,0
338,2018,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,SD,7
339,2018,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,SLTP,1
340,2018,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,SLTA,0
341,2018,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,PERGURUAN TINGGI,0
342,2018,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,TK,0
343,2018,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,PAUD,0
345,2018,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,TIDAK SEKOLAH,0
346,2018,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,SD,0
347,2018,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,SLTP,0
348,2018,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,SLTA,0
349,2018,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,PERGURUAN TINGGI,0
350,2018,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,TK,0
351,2018,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,PAUD,0
353,2018,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,TIDAK SEKOLAH,0
354,2018,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,SD,1
355,2018,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,SLTP,0
356,2018,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,SLTA,0
357,2018,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,PERGURUAN TINGGI,0
358,2018,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,TK,0
359,2018,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,PAUD,0
361,2018,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,TIDAK SEKOLAH,0
362,2018,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,SD,0
363,2018,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,SLTP,0
364,2018,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,SLTA,2
365,2018,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,PERGURUAN TINGGI,0
366,2018,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,TK,0
367,2018,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,PAUD,0
369,2018,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,TIDAK SEKOLAH,0
370,2018,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,SD,1
371,2018,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,SLTP,0
372,2018,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,SLTA,1
373,2018,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,PERGURUAN TINGGI,0
374,2018,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,TK,0
375,2018,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,PAUD,0
377,2018,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,TIDAK SEKOLAH,0
378,2018,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,SD,0
379,2018,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,SLTP,2
380,2018,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,SLTA,3
381,2018,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,PERGURUAN TINGGI,1
382,2018,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,TK,0
383,2018,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,PAUD,0
385,2018,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,TIDAK SEKOLAH,0
386,2018,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,SD,1
387,2018,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,SLTP,3
388,2018,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,SLTA,0
389,2018,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,PERGURUAN TINGGI,0
390,2018,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,TK,0
391,2018,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,PAUD,0
393,2018,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,TIDAK SEKOLAH,0
394,2018,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,SD,4
395,2018,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,SLTP,3
396,2018,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,SLTA,5
397,2018,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,PERGURUAN TINGGI,0
398,2018,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,TK,0
399,2018,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,PAUD,0
401,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,TIDAK SEKOLAH,0
402,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,SD,0
403,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,SLTP,1
404,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,SLTA,0
405,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,PERGURUAN TINGGI,0
406,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,TK,0
407,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,PAUD,0
409,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,TIDAK SEKOLAH,0
410,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,SD,3
411,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,SLTP,1
412,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,SLTA,2
413,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,PERGURUAN TINGGI,2
414,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,TK,0
415,2018,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,PAUD,0
417,2018,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,TIDAK SEKOLAH,0
418,2018,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,SD,1
419,2018,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,SLTP,4
420,2018,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,SLTA,0
421,2018,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,PERGURUAN TINGGI,0
422,2018,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,TK,0
423,2018,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,PAUD,0
425,2018,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,TIDAK SEKOLAH,0
426,2018,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,SD,0
427,2018,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,SLTP,5
428,2018,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,SLTA,2
429,2018,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,PERGURUAN TINGGI,0
430,2018,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,TK,0
431,2018,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,PAUD,0
433,2021,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,TIDAK SEKOLAH,1
434,2021,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,TK,0
435,2021,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,PAUD,0
436,2021,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,SD,0
437,2021,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,SLTP,0
438,2021,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,SLTA,0
439,2021,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,PERGURUAN TINGGI,0
441,2021,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,TIDAK SEKOLAH,1
442,2021,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,TK,0
443,2021,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,PAUD,0
444,2021,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,SD,0
445,2021,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,SLTP,2
446,2021,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,SLTA,7
447,2021,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,PERGURUAN TINGGI,4
449,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,TIDAK SEKOLAH,1
450,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,TK,0
451,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,PAUD,0
452,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,SD,1
453,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,SLTP,0
454,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,SLTA,0
455,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,PERGURUAN TINGGI,0
457,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,TIDAK SEKOLAH,2
458,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,TK,0
459,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,PAUD,0
460,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,SD,1
461,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,SLTP,9
462,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,SLTA,6
463,2021,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,PERGURUAN TINGGI,0
465,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,TIDAK SEKOLAH,0
466,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,TK,0
467,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,PAUD,0
468,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,SD,1
469,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,SLTP,0
470,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,SLTA,0
471,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,PERGURUAN TINGGI,0
473,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,TIDAK SEKOLAH,0
474,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,TK,0
475,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,PAUD,0
476,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,SD,3
477,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,SLTP,2
478,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,SLTA,3
479,2021,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,PERGURUAN TINGGI,2
481,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,TIDAK SEKOLAH,0
482,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,TK,0
483,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,PAUD,0
484,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,SD,2
485,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,SLTP,1
486,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,SLTA,0
487,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,PERGURUAN TINGGI,0
489,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,TIDAK SEKOLAH,1
490,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,TK,0
491,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,PAUD,1
492,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SD,5
493,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SLTP,6
494,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,SLTA,15
495,2021,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,PERGURUAN TINGGI,2
497,2021,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,TIDAK SEKOLAH,0
498,2021,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,TK,0
499,2021,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,PAUD,0
500,2021,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SD,0
501,2021,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SLTP,0
502,2021,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,SLTA,0
503,2021,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,PERGURUAN TINGGI,0
505,2021,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,TIDAK SEKOLAH,0
506,2021,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,TK,0
507,2021,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,PAUD,0
508,2021,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SD,0
509,2021,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SLTP,0
510,2021,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,SLTA,3
511,2021,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,PERGURUAN TINGGI,0
513,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,TIDAK SEKOLAH,3
514,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,TK,0
515,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,PAUD,0
516,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SD,2
517,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SLTP,4
518,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,SLTA,5
519,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,PERGURUAN TINGGI,0
521,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,TIDAK SEKOLAH,7
522,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,TK,0
523,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,PAUD,0
524,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SD,2
525,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SLTP,15
526,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,SLTA,3
527,2021,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,PERGURUAN TINGGI,1
529,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,TIDAK SEKOLAH,0
530,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,TK,0
531,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,PAUD,0
532,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SD,0
533,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SLTP,1
534,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,SLTA,0
535,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,PERGURUAN TINGGI,0
537,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,TIDAK SEKOLAH,0
538,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,TK,0
539,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,PAUD,0
540,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,SD,0
541,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,SLTP,0
542,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,SLTA,0
543,2021,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,PERGURUAN TINGGI,0
545,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,TIDAK SEKOLAH,0
546,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,TK,0
547,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,PAUD,0
548,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,SD,0
549,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,SLTP,0
550,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,SLTA,0
551,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,PERGURUAN TINGGI,0
553,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,TIDAK SEKOLAH,0
554,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,TK,0
555,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,PAUD,0
556,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SD,0
557,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SLTP,0
558,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SLTA,0
559,2021,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,PERGURUAN TINGGI,0
561,2021,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,TIDAK SEKOLAH,0
562,2021,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,TK,0
563,2021,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,PAUD,0
564,2021,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SD,1
565,2021,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SLTP,0
566,2021,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SLTA,0
567,2021,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,PERGURUAN TINGGI,0
569,2021,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,TIDAK SEKOLAH,0
570,2021,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,TK,0
571,2021,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,PAUD,0
572,2021,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SD,0
573,2021,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SLTP,1
574,2021,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SLTA,1
575,2021,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,PERGURUAN TINGGI,0
577,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,TIDAK SEKOLAH,0
578,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,TK,0
579,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,PAUD,0
580,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SD,0
581,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SLTP,0
582,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SLTA,0
583,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,PERGURUAN TINGGI,0
585,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,TIDAK SEKOLAH,0
586,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,TK,0
587,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,PAUD,0
588,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SD,4
589,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SLTP,1
590,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SLTA,0
591,2021,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,PERGURUAN TINGGI,0
593,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,TIDAK SEKOLAH,0
594,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,TK,0
595,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,PAUD,0
596,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SD,0
597,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SLTP,0
598,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SLTA,0
599,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,PERGURUAN TINGGI,0
601,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,TIDAK SEKOLAH,0
602,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,TK,0
603,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,PAUD,0
604,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SD,0
605,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SLTP,1
606,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SLTA,0
607,2021,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,PERGURUAN TINGGI,0
609,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,TIDAK SEKOLAH,0
610,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,TK,0
611,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,PAUD,0
612,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SD,2
613,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SLTP,0
614,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,SLTA,0
615,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,PERGURUAN TINGGI,0
617,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,TIDAK SEKOLAH,0
618,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,TK,0
619,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,PAUD,0
620,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SD,1
621,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SLTP,1
622,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,SLTA,4
623,2021,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,PERGURUAN TINGGI,0
625,2021,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,TIDAK SEKOLAH,0
626,2021,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,TK,0
627,2021,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,PAUD,0
628,2021,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SD,0
629,2021,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SLTP,0
630,2021,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,SLTA,0
631,2021,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,PERGURUAN TINGGI,0
633,2021,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,TIDAK SEKOLAH,0
634,2021,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,TK,0
635,2021,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,PAUD,0
636,2021,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SD,0
637,2021,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SLTP,0
638,2021,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SLTA,0
639,2021,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,PERGURUAN TINGGI,0
641,2021,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,TIDAK SEKOLAH,0
